,year,month,date,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
0,2008,3,2008-3,0.0,4955405809.0,0.0,0.0,0.0,0.0
1,2008,4,2008-4,0.0,5159162183.0,0.0,0.0,0.0,0.0
2,2008,5,2008-5,0.0,5584691092.0,0.0,0.0,0.0,0.0
3,2008,6,2008-6,0.0,5712104279.0,0.0,0.0,0.0,0.0
4,2008,7,2008-7,0.0,5306302874.0,0.0,0.0,0.0,0.0
5,2008,8,2008-8,0.0,5140155519.0,0.0,0.0,0.0,0.0
6,2008,9,2008-9,0.0,5479533823.0,0.0,0.0,0.0,0.0
7,2008,0,2008-0,0.0,5679440782.0,0.0,0.0,0.0,0.0
8,2008,1,2008-1,0.0,5415832071.0,0.0,0.0,0.0,0.0
9,2008,2,2008-2,0.0,5211708451.0,0.0,0.0,0.0,0.0
10,2009,3,2009-3,0.0,6295159057.0,0.0,0.0,0.0,0.0
11,2009,4,2009-4,0.0,5988817321.0,0.0,0.0,0.0,0.0
12,2009,5,2009-5,0.0,6267516733.0,0.0,0.0,0.0,0.0
13,2009,6,2009-6,0.0,5818924182.0,0.0,0.0,0.0,0.0
14,2009,7,2009-7,0.0,5801646978.0,0.0,0.0,0.0,0.0
15,2009,8,2009-8,0.0,5790850384.0,0.0,0.0,0.0,0.0
16,2009,9,2009-9,0.0,4057515768.0,0.0,0.0,0.0,0.0
17,2009,0,2009-0,0.0,6016107147.0,0.0,0.0,0.0,0.0
18,2009,1,2009-1,0.0,5768486910.0,0.0,0.0,0.0,0.0
19,2009,2,2009-2,0.0,5426505977.0,0.0,0.0,0.0,0.0
20,2010,3,2010-3,0.0,6661347946.0,0.0,0.0,0.0,0.0
21,2010,4,2010-4,0.0,6618552152.0,0.0,0.0,0.0,0.0
22,2010,5,2010-5,0.0,6410578775.0,0.0,0.0,0.0,0.0
23,2010,6,2010-6,0.0,4898035014.0,0.0,0.0,0.0,0.0
24,2010,7,2010-7,0.0,5296177638.0,0.0,0.0,0.0,0.0
25,2010,8,2010-8,0.0,7381346660.0,0.0,0.0,0.0,0.0
26,2010,9,2010-9,0.0,7546488744.0,0.0,0.0,0.0,0.0
27,2010,0,2010-0,0.0,10172844562.0,0.0,0.0,0.0,0.0
28,2010,1,2010-1,0.0,6948678354.0,0.0,0.0,0.0,0.0
29,2010,2,2010-2,0.0,7001952100.0,0.0,0.0,0.0,0.0
30,2011,3,2011-3,0.0,7326545928.0,0.0,0.0,0.0,0.0
31,2011,4,2011-4,0.0,6835492088.0,0.0,0.0,0.0,0.0
32,2011,5,2011-5,0.0,7009799378.0,0.0,0.0,0.0,0.0
33,2011,6,2011-6,0.0,6536675534.0,0.0,0.0,0.0,0.0
34,2011,7,2011-7,0.0,6571730164.0,0.0,0.0,0.0,0.0
35,2011,8,2011-8,0.0,6514500361.0,0.0,0.0,0.0,0.0
36,2011,9,2011-9,0.0,5837738935.0,0.0,0.0,0.0,0.0
37,2011,0,2011-0,0.0,6974424665.0,0.0,0.0,0.0,0.0
38,2011,1,2011-1,0.0,7507641641.0,0.0,0.0,0.0,0.0
39,2011,2,2011-2,0.0,6396357939.0,0.0,0.0,0.0,0.0
40,2012,3,2012-3,0.0,7358543625.0,0.0,0.0,0.0,0.0
41,2012,4,2012-4,0.0,7220029422.0,0.0,0.0,0.0,0.0
42,2012,5,2012-5,0.0,7784479302.0,0.0,0.0,0.0,0.0
43,2012,6,2012-6,0.0,7524265988.0,0.0,0.0,0.0,0.0
44,2012,7,2012-7,0.0,7819376527.0,0.0,0.0,0.0,0.0
45,2012,8,2012-8,0.0,7885641059.0,0.0,0.0,0.0,0.0
46,2012,9,2012-9,0.0,7913689733.0,0.0,0.0,0.0,0.0
47,2012,0,2012-0,0.0,8379960050.0,0.0,0.0,0.0,0.0
48,2012,1,2012-1,0.0,8219987195.0,0.0,0.0,0.0,0.0
49,2012,2,2012-2,0.0,8033826900.0,0.0,0.0,0.0,0.0
50,2013,3,2013-3,0.0,8701419671.0,0.0,0.0,0.0,0.0
51,2013,4,2013-4,0.0,8049296729.0,0.0,0.0,0.0,0.0
52,2013,5,2013-5,0.0,8089099883.0,0.0,0.0,0.0,0.0
53,2013,6,2013-6,0.0,7759959725.0,0.0,0.0,0.0,0.0
54,2013,7,2013-7,0.0,8237301982.0,0.0,0.0,0.0,0.0
55,2013,8,2013-8,0.0,9306122925.0,0.0,0.0,0.0,0.0
56,2013,9,2013-9,0.0,9985326806.0,0.0,0.0,0.0,0.0
57,2013,0,2013-0,0.0,10775158269.0,0.0,0.0,0.0,0.0
58,2013,1,2013-1,0.0,10414877805.0,0.0,0.0,0.0,0.0
59,2013,2,2013-2,0.0,7102459747.0,0.0,0.0,0.0,0.0
60,2014,3,2014-3,0.0,7464128273.0,0.0,0.0,0.0,0.0
61,2014,4,2014-4,0.0,7216245221.0,0.0,0.0,0.0,0.0
62,2014,5,2014-5,0.0,7543277646.0,0.0,0.0,0.0,0.0
63,2014,6,2014-6,0.0,6577352648.0,0.0,0.0,0.0,0.0
64,2014,7,2014-7,0.0,6761059566.0,0.0,0.0,0.0,0.0
65,2014,8,2014-8,0.0,6687313714.0,0.0,0.0,0.0,0.0
66,2014,9,2014-9,0.0,7564600999.0,0.0,0.0,0.0,0.0
67,2014,0,2014-0,9669079813.0,6577533128.0,3091546685.0,0.0,0.0,0.0
68,2014,1,2014-1,9181027274.0,6153537606.0,3027489668.0,0.0,0.0,0.0
69,2014,2,2014-2,9109282269.0,5830332248.0,3278950021.0,0.0,0.0,0.0
70,2015,3,2015-3,9677435301.0,6346602713.0,3330832588.0,0.0,0.0,0.0
71,2015,4,2015-4,9421035574.0,6198945657.0,3222089917.0,0.0,0.0,0.0
72,2015,5,2015-5,9657871297.0,6323801814.0,3334069483.0,0.0,0.0,0.0
73,2015,6,2015-6,8203576103.0,5165413640.0,3038162463.0,0.0,0.0,0.0
74,2015,7,2015-7,8483698717.0,5229226022.0,3254472695.0,7665421980.0,4376666686.0,3288755294.0
75,2015,8,2015-8,8304022031.0,5035534449.0,3268487582.0,7634815221.0,4332482183.0,3302333038.0
76,2015,9,2015-9,8582061182.0,5409631355.0,3172429827.0,7655695037.0,4485491704.0,3170203333.0
77,2015,0,2015-0,8781786976.0,5535704471.0,3246082505.0,7746031887.0,4477532755.0,3268499132.0
78,2015,1,2015-1,8515190628.0,5296956116.0,3218234512.0,7524321290.0,4287720220.0,3236601070.0
79,2015,2,2015-2,8651858036.0,5264446173.0,3387411863.0,7476287344.0,4100012037.0,3376275307.0
80,2016,1,2016-1,9309261244.0,5569632502.0,3739628742.0,7983113161.0,4392068236.0,3591044925.0
81,2016,2,2016-2,8680940753.0,5347709361.0,3333231392.0,7986152433.0,4209608578.0,3776543855.0
82,2016,3,2016-3,8827529692.0,5407676056.0,3419853636.0,7673274617.0,4286590426.0,3386684191.0
83,2016,4,2016-4,8873620523.0,5572235399.0,3301385124.0,7408147859.0,4149383857.0,3258764002.0
84,2016,5,2016-5,8748968139.0,5330532334.0,3418435805.0,7586811330.0,4191778094.0,3395033236.0
85,2016,6,2016-6,8347710510.0,4975092447.0,3372618063.0,7243630656.0,3888839711.0,3354790945.0
86,2016,7,2016-7,8864627560.0,5363966439.0,3500661121.0,7834439589.0,4337865827.0,3496573762.0
87,2016,8,2016-8,0.0,0.0,0.0,8210865519.0,4695046216.0,3515819303.0
88,2016,9,2016-9,0.0,0.0,0.0,7528292279.0,4135006498.0,3393285781.0
89,2016,0,2016-0,0.0,0.0,0.0,7871021581.0,4361737690.0,3509283891.0
90,2017,3,2017-3,0.0,0.0,0.0,8223465891.0,4319971902.0,3903493989.0
91,2017,4,2017-4,0.0,0.0,0.0,7591080111.0,3951456992.0,3639623119.0
92,2017,5,2017-5,0.0,0.0,0.0,7874558299.0,4187870579.0,3686687720.0
93,2017,6,2017-6,0.0,0.0,0.0,7123934190.0,3604550997.0,3519383193.0
94,2017,7,2017-7,0.0,0.0,0.0,7290503797.0,3565444544.0,3725059253.0
95,2017,8,2017-8,0.0,0.0,0.0,7196978615.0,3575572313.0,3621406302.0
96,2017,9,2017-9,0.0,0.0,0.0,7079052261.0,3547447892.0,3531604369.0
97,2017,0,2017-0,0.0,0.0,0.0,7580772181.0,3907651639.0,3673120542.0
98,2017,1,2017-1,0.0,0.0,0.0,7486072984.0,3816060923.0,3670012061.0
99,2017,2,2017-2,0.0,0.0,0.0,7470527400.0,3640391096.0,3830136304.0
100,2018,3,2018-3,0.0,0.0,0.0,8015146182.0,3965271925.0,4049874257.0
101,2018,4,2018-4,0.0,0.0,0.0,7690353530.0,3762955419.0,3927398111.0
102,2018,5,2018-5,0.0,0.0,0.0,7764840918.0,3675652396.0,4089188522.0
103,2018,6,2018-6,0.0,0.0,0.0,7256416175.0,3278649434.0,3977766741.0
104,2018,7,2018-7,0.0,0.0,0.0,7723165341.0,3457051589.0,4266113752.0
105,2018,8,2018-8,0.0,0.0,0.0,7586492950.0,3399130789.0,4187362161.0
106,2018,9,2018-9,0.0,0.0,0.0,7410952475.0,3433832231.0,3977120244.0
